geo,anyo,valor,estado
AT,2018,116,
AT,2019,115,
AT,2020,113,
AT,2021,117,
AT,2022,117,
AT,2023,114,
AT,2024,112,
BE,2018,114,
BE,2019,114,
BE,2020,114,
BE,2021,113,
BE,2022,113,
BE,2023,113,
BE,2024,112,p
DE,2018,125,
DE,2019,124,
DE,2020,124,
DE,2021,122,
DE,2022,121,
DE,2023,119,
DE,2024,118,p
EL,2018,77,
EL,2019,77,
EL,2020,75,
EL,2021,76,
EL,2022,78,
EL,2023,80,
EL,2024,81,p
ES,2018,91,
ES,2019,90,
ES,2020,83,
ES,2021,87,
ES,2022,89,
ES,2023,91,
ES,2024,92,p
EU27_2020,2018,100,
EU27_2020,2019,100,
EU27_2020,2020,100,
EU27_2020,2021,100,
EU27_2020,2022,100,
EU27_2020,2023,100,
EU27_2020,2024,100,
FR,2018,108,
FR,2019,109,
FR,2020,110,
FR,2021,107,
FR,2022,105,
FR,2023,106,
FR,2024,106,p
IE,2018,94,
IE,2019,93,
IE,2020,87,
IE,2021,91,
IE,2022,94,
IE,2023,99,
IE,2024,99,
IT,2018,99,
IT,2019,99,
IT,2020,96,
IT,2021,96,
IT,2022,99,
IT,2023,100,
IT,2024,98,
NL,2018,117,
NL,2019,115,
NL,2020,116,
NL,2021,117,
NL,2022,120,
NL,2023,119,
NL,2024,120,
PL,2018,79,
PL,2019,80,
PL,2020,86,
PL,2021,86,
PL,2022,85,
PL,2023,83,
PL,2024,84,
PT,2018,83,
PT,2019,84,
PT,2020,82,
PT,2021,83,
PT,2022,85,
PT,2023,85,
PT,2024,85,e
SE,2018,111,
SE,2019,109,
SE,2020,111,
SE,2021,111,
SE,2022,108,
SE,2023,106,
SE,2024,105,
