Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2024;136.518
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2023;132.332
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2022;122.885
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2021;108.154
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2020;96.238
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2019;95.194
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2018;89.831
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2024;1.674
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2023;1.631
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2022;1.500
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2021;1.312
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2020;1.225
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2019;1.256
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2018;1.204
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;415
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;399
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;375
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;360
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;377
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;363
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;340
TOTAL NACIONAL;1.2.-Lesiones;2024;46.856
TOTAL NACIONAL;1.2.-Lesiones;2023;45.598
TOTAL NACIONAL;1.2.-Lesiones;2022;44.431
TOTAL NACIONAL;1.2.-Lesiones;2021;38.573
TOTAL NACIONAL;1.2.-Lesiones;2020;32.334
TOTAL NACIONAL;1.2.-Lesiones;2019;33.570
TOTAL NACIONAL;1.2.-Lesiones;2018;31.812
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2024;83.936
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2023;81.461
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2022;73.876
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2021;65.618
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2020;60.547
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2019;58.600
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2018;55.153
TOTAL NACIONAL;1.4.-Otros contra las personas;2024;4.052
TOTAL NACIONAL;1.4.-Otros contra las personas;2023;3.642
TOTAL NACIONAL;1.4.-Otros contra las personas;2022;3.078
TOTAL NACIONAL;1.4.-Otros contra las personas;2021;2.651
TOTAL NACIONAL;1.4.-Otros contra las personas;2020;2.132
TOTAL NACIONAL;1.4.-Otros contra las personas;2019;1.768
TOTAL NACIONAL;1.4.-Otros contra las personas;2018;1.662
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2024;59.819
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2023;58.423
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2022;52.677
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2021;49.856
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2020;45.672
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2019;40.383
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2018;38.927
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2024;11.653
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2023;12.085
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2022;10.964
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2021;10.222
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2020;9.514
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2019;9.488
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2018;9.078
TOTAL NACIONAL;2.2.-Otros contra la libertad;2024;48.166
TOTAL NACIONAL;2.2.-Otros contra la libertad;2023;46.338
TOTAL NACIONAL;2.2.-Otros contra la libertad;2022;41.713
TOTAL NACIONAL;2.2.-Otros contra la libertad;2021;39.634
TOTAL NACIONAL;2.2.-Otros contra la libertad;2020;36.158
TOTAL NACIONAL;2.2.-Otros contra la libertad;2019;30.895
TOTAL NACIONAL;2.2.-Otros contra la libertad;2018;29.849
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2024;14.375
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2023;13.767
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2022;11.699
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2021;10.477
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2020;7.991
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2019;8.983
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2018;8.288
TOTAL NACIONAL;3.1.-Agresión sexual;2024;8.815
TOTAL NACIONAL;3.1.-Agresión sexual;2023;8.232
TOTAL NACIONAL;3.1.-Agresión sexual;2022;7.133
TOTAL NACIONAL;3.1.-Agresión sexual;2021;6.252
TOTAL NACIONAL;3.1.-Agresión sexual;2020;4.553
TOTAL NACIONAL;3.1.-Agresión sexual;2019;5.151
TOTAL NACIONAL;3.1.-Agresión sexual;2018;4.642
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2024;3.244
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2023;3.160
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2022;2.755
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2021;2.419
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2020;1.860
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2019;1.958
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;2018;1.829
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2024;176
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2023;191
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2022;221
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2021;211
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2020;163
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2019;191
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;2018;185
TOTAL NACIONAL;3.4.-Pornografía de menores;2024;623
TOTAL NACIONAL;3.4.-Pornografía de menores;2023;649
TOTAL NACIONAL;3.4.-Pornografía de menores;2022;467
TOTAL NACIONAL;3.4.-Pornografía de menores;2021;467
TOTAL NACIONAL;3.4.-Pornografía de menores;2020;453
TOTAL NACIONAL;3.4.-Pornografía de menores;2019;615
TOTAL NACIONAL;3.4.-Pornografía de menores;2018;677
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2024;1.517
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2023;1.535
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2022;1.123
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2021;1.128
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2020;962
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2019;1.068
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;2018;955
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2024;2.570
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2023;2.655
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2022;2.509
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2021;2.472
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2020;2.339
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2019;1.549
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2018;1.687
TOTAL NACIONAL;5. PATRIMONIO;2024;216.676
TOTAL NACIONAL;5. PATRIMONIO;2023;204.374
TOTAL NACIONAL;5. PATRIMONIO;2022;179.947
TOTAL NACIONAL;5. PATRIMONIO;2021;151.436
TOTAL NACIONAL;5. PATRIMONIO;2020;139.280
TOTAL NACIONAL;5. PATRIMONIO;2019;144.958
TOTAL NACIONAL;5. PATRIMONIO;2018;143.192
TOTAL NACIONAL;5.1.-Hurtos;2024;96.412
TOTAL NACIONAL;5.1.-Hurtos;2023;89.492
TOTAL NACIONAL;5.1.-Hurtos;2022;74.111
TOTAL NACIONAL;5.1.-Hurtos;2021;57.256
TOTAL NACIONAL;5.1.-Hurtos;2020;49.103
TOTAL NACIONAL;5.1.-Hurtos;2019;58.955
TOTAL NACIONAL;5.1.-Hurtos;2018;59.652
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2024;30.464
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2023;30.866
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2022;28.274
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2021;25.263
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2020;25.748
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2019;29.401
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2018;30.314
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;7.109
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;6.974
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;5.948
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;4.928
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;3.971
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;5.402
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;5.534
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2024;8.575
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;8.722
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;8.249
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;8.012
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;8.563
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;8.049
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;8.662
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2024;7.184
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;7.697
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;6.828
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;6.116
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;6.515
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;6.070
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;5.798
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2024;21.616
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2023;20.790
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2022;18.478
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2021;15.567
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2020;14.160
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2019;18.253
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2018;15.491
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2024;12.733
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;12.246
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;11.104
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;9.095
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;8.029
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;7.725
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;6.395
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2024;1.572
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;1.413
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;1.204
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;1.332
