Provincias;Tipología penal;periodo;Total
Total Nacional;1. CONTRA LAS PERSONAS;2024;136.518
Total Nacional;1. CONTRA LAS PERSONAS;2023;132.332
Total Nacional;1. CONTRA LAS PERSONAS;2022;122.885
Total Nacional;1. CONTRA LAS PERSONAS;2021;108.154
Total Nacional;1. CONTRA LAS PERSONAS;2020;96.238
Total Nacional;1. CONTRA LAS PERSONAS;2019;95.194
Total Nacional;1. CONTRA LAS PERSONAS;2018;89.831
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2024;1.674
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2023;1.631
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2022;1.500
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2021;1.312
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2020;1.225
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2019;1.256
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2018;1.204
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;415
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;399
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;375
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;360
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;377
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;363
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;340
Total Nacional;1.2.-Lesiones;2024;46.856
Total Nacional;1.2.-Lesiones;2023;45.598
Total Nacional;1.2.-Lesiones;2022;44.431
Total Nacional;1.2.-Lesiones;2021;38.573
Total Nacional;1.2.-Lesiones;2020;32.334
Total Nacional;1.2.-Lesiones;2019;33.570
Total Nacional;1.2.-Lesiones;2018;31.812
Total Nacional;1.3.-Malos tratos ámbito familiar;2024;83.936
Total Nacional;1.3.-Malos tratos ámbito familiar;2023;81.461
Total Nacional;1.3.-Malos tratos ámbito familiar;2022;73.876
Total Nacional;1.3.-Malos tratos ámbito familiar;2021;65.618
Total Nacional;1.3.-Malos tratos ámbito familiar;2020;60.547
Total Nacional;1.3.-Malos tratos ámbito familiar;2019;58.600
Total Nacional;1.3.-Malos tratos ámbito familiar;2018;55.153
Total Nacional;1.4.-Otros contra las personas;2024;4.052
Total Nacional;1.4.-Otros contra las personas;2023;3.642
Total Nacional;1.4.-Otros contra las personas;2022;3.078
Total Nacional;1.4.-Otros contra las personas;2021;2.651
Total Nacional;1.4.-Otros contra las personas;2020;2.132
Total Nacional;1.4.-Otros contra las personas;2019;1.768
Total Nacional;1.4.-Otros contra las personas;2018;1.662
Total Nacional;2. CONTRA LA LIBERTAD;2024;59.819
Total Nacional;2. CONTRA LA LIBERTAD;2023;58.423
Total Nacional;2. CONTRA LA LIBERTAD;2022;52.677
Total Nacional;2. CONTRA LA LIBERTAD;2021;49.856
Total Nacional;2. CONTRA LA LIBERTAD;2020;45.672
Total Nacional;2. CONTRA LA LIBERTAD;2019;40.383
Total Nacional;2. CONTRA LA LIBERTAD;2018;38.927
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2024;11.653
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2023;12.085
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2022;10.964
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2021;10.222
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2020;9.514
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2019;9.488
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2018;9.078
Total Nacional;2.2.-Otros contra la libertad;2024;48.166
Total Nacional;2.2.-Otros contra la libertad;2023;46.338
Total Nacional;2.2.-Otros contra la libertad;2022;41.713
Total Nacional;2.2.-Otros contra la libertad;2021;39.634
Total Nacional;2.2.-Otros contra la libertad;2020;36.158
Total Nacional;2.2.-Otros contra la libertad;2019;30.895
Total Nacional;2.2.-Otros contra la libertad;2018;29.849
Total Nacional;3. LIBERTAD SEXUAL;2024;14.375
Total Nacional;3. LIBERTAD SEXUAL;2023;13.767
Total Nacional;3. LIBERTAD SEXUAL;2022;11.699
Total Nacional;3. LIBERTAD SEXUAL;2021;10.477
Total Nacional;3. LIBERTAD SEXUAL;2020;7.991
Total Nacional;3. LIBERTAD SEXUAL;2019;8.983
Total Nacional;3. LIBERTAD SEXUAL;2018;8.288
Total Nacional;3.1.-Agresión sexual;2024;8.815
Total Nacional;3.1.-Agresión sexual;2023;8.232
Total Nacional;3.1.-Agresión sexual;2022;7.133
Total Nacional;3.1.-Agresión sexual;2021;6.252
Total Nacional;3.1.-Agresión sexual;2020;4.553
Total Nacional;3.1.-Agresión sexual;2019;5.151
Total Nacional;3.1.-Agresión sexual;2018;4.642
Total Nacional;3.2.-Agresión sexual con penetración;2024;3.244
Total Nacional;3.2.-Agresión sexual con penetración;2023;3.160
Total Nacional;3.2.-Agresión sexual con penetración;2022;2.755
Total Nacional;3.2.-Agresión sexual con penetración;2021;2.419
Total Nacional;3.2.-Agresión sexual con penetración;2020;1.860
Total Nacional;3.2.-Agresión sexual con penetración;2019;1.958
Total Nacional;3.2.-Agresión sexual con penetración;2018;1.829
Total Nacional;3.3.-Corrupción de menores o incapacitados;2024;176
Total Nacional;3.3.-Corrupción de menores o incapacitados;2023;191
Total Nacional;3.3.-Corrupción de menores o incapacitados;2022;221
Total Nacional;3.3.-Corrupción de menores o incapacitados;2021;211
Total Nacional;3.3.-Corrupción de menores o incapacitados;2020;163
Total Nacional;3.3.-Corrupción de menores o incapacitados;2019;191
Total Nacional;3.3.-Corrupción de menores o incapacitados;2018;185
Total Nacional;3.4.-Pornografía de menores;2024;623
Total Nacional;3.4.-Pornografía de menores;2023;649
Total Nacional;3.4.-Pornografía de menores;2022;467
Total Nacional;3.4.-Pornografía de menores;2021;467
Total Nacional;3.4.-Pornografía de menores;2020;453
Total Nacional;3.4.-Pornografía de menores;2019;615
Total Nacional;3.4.-Pornografía de menores;2018;677
Total Nacional;3.5.-Otros contra la libertad sexual;2024;1.517
Total Nacional;3.5.-Otros contra la libertad sexual;2023;1.535
Total Nacional;3.5.-Otros contra la libertad sexual;2022;1.123
Total Nacional;3.5.-Otros contra la libertad sexual;2021;1.128
Total Nacional;3.5.-Otros contra la libertad sexual;2020;962
Total Nacional;3.5.-Otros contra la libertad sexual;2019;1.068
Total Nacional;3.5.-Otros contra la libertad sexual;2018;955
Total Nacional;4. RELACIONES FAMILIARES;2024;2.570
Total Nacional;4. RELACIONES FAMILIARES;2023;2.655
Total Nacional;4. RELACIONES FAMILIARES;2022;2.509
Total Nacional;4. RELACIONES FAMILIARES;2021;2.472
Total Nacional;4. RELACIONES FAMILIARES;2020;2.339
Total Nacional;4. RELACIONES FAMILIARES;2019;1.549
Total Nacional;4. RELACIONES FAMILIARES;2018;1.687
Total Nacional;5. PATRIMONIO;2024;216.676
Total Nacional;5. PATRIMONIO;2023;204.374
Total Nacional;5. PATRIMONIO;2022;179.947
Total Nacional;5. PATRIMONIO;2021;151.436
Total Nacional;5. PATRIMONIO;2020;139.280
Total Nacional;5. PATRIMONIO;2019;144.958
Total Nacional;5. PATRIMONIO;2018;143.192
Total Nacional;5.1.-Hurtos;2024;96.412
Total Nacional;5.1.-Hurtos;2023;89.492
Total Nacional;5.1.-Hurtos;2022;74.111
Total Nacional;5.1.-Hurtos;2021;57.256
Total Nacional;5.1.-Hurtos;2020;49.103
Total Nacional;5.1.-Hurtos;2019;58.955
Total Nacional;5.1.-Hurtos;2018;59.652
Total Nacional;5.2.-Robos con fuerza en las cosas;2024;30.464
Total Nacional;5.2.-Robos con fuerza en las cosas;2023;30.866
Total Nacional;5.2.-Robos con fuerza en las cosas;2022;28.274
Total Nacional;5.2.-Robos con fuerza en las cosas;2021;25.263
Total Nacional;5.2.-Robos con fuerza en las cosas;2020;25.748
Total Nacional;5.2.-Robos con fuerza en las cosas;2019;29.401
Total Nacional;5.2.-Robos con fuerza en las cosas;2018;30.314
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;7.109
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;6.974
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;5.948
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;4.928
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;3.971
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;5.402
Total Nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;5.534
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2024;8.575
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2023;8.722
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2022;8.249
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2021;8.012
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2020;8.563
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2019;8.049
Total Nacional;5.2.2.-Robos con fuerza en viviendas;2018;8.662
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2024;7.184
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2023;7.697
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2022;6.828
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2021;6.116
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2020;6.515
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2019;6.070
Total Nacional;5.2.3.-Robos con fuerza en establecimientos;2018;5.798
Total Nacional;5.3.-Robos con violencia o intimidación;2024;21.616
Total Nacional;5.3.-Robos con violencia o intimidación;2023;20.790
Total Nacional;5.3.-Robos con violencia o intimidación;2022;18.478
Total Nacional;5.3.-Robos con violencia o intimidación;2021;15.567
Total Nacional;5.3.-Robos con violencia o intimidación;2020;14.160
Total Nacional;5.3.-Robos con violencia o intimidación;2019;18.253
Total Nacional;5.3.-Robos con violencia o intimidación;2018;15.491
Total Nacional;5.3.1.-Robos con violencia en vía pública;2024;12.733
Total Nacional;5.3.1.-Robos con violencia en vía pública;2023;12.246
Total Nacional;5.3.1.-Robos con violencia en vía pública;2022;11.104
Total Nacional;5.3.1.-Robos con violencia en vía pública;2021;9.095
Total Nacional;5.3.1.-Robos con violencia en vía pública;2020;8.029
Total Nacional;5.3.1.-Robos con violencia en vía pública;2019;7.725
Total Nacional;5.3.1.-Robos con violencia en vía pública;2018;6.395
Total Nacional;5.3.2.-Robos con violencia en viviendas;2024;1.572
Total Nacional;5.3.2.-Robos con violencia en viviendas;2023;1.413
Total Nacional;5.3.2.-Robos con violencia en viviendas;2022;1.204
Total Nacional;5.3.2.-Robos con violencia en viviendas;2021;1.332
Total Nacional;5.3.2.-Robos con violencia en viviendas;2020;1.295
Total Nacional;5.3.2.-Robos con violencia en viviendas;2019;1.153
Total Nacional;5.3.2.-Robos con violencia en viviendas;2018;1.178
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2024;5.208
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2023;4.884
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2022;4.073
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2021;3.292
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2020;3.160
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2019;3.037
Total Nacional;5.3.3.-Robos con violencia en establecimientos;2018;2.890
Total Nacional;5.4.-Sustracción de vehículos;2024;4.326
Total Nacional;5.4.-Sustracción de vehículos;2023;3.948
Total Nacional;5.4.-Sustracción de vehículos;2022;3.612
Total Nacional;5.4.-Sustracción de vehículos;2021;3.159
Total Nacional;5.4.-Sustracción de vehículos;2020;3.309
Total Nacional;5.4.-Sustracción de vehículos;2019;3.399
Total Nacional;5.4.-Sustracción de vehículos;2018;3.424
Total Nacional;5.5.-Estafas;2024;23.381
Total Nacional;5.5.-Estafas;2023;22.135
Total Nacional;5.5.-Estafas;2022;19.232
Total Nacional;5.5.-Estafas;2021;16.301
Total Nacional;5.5.-Estafas;2020;14.572
Total Nacional;5.5.-Estafas;2019;13.478
Total Nacional;5.5.-Estafas;2018;12.521
Total Nacional;5.5.1.-Estafas informáticas;2024;14.640
Total Nacional;5.5.1.-Estafas informáticas;2023;12.784
Total Nacional;5.5.1.-Estafas informáticas;2022;10.422
Total Nacional;5.5.1.-Estafas informáticas;2021;9.145
Total Nacional;5.5.1.-Estafas informáticas;2020;7.161
